,Station,2016,2017,2018,2019,2020,2021,2022,Average_traffic,Colors,X,Y
76,Finchley Road,9998400.0,9134559.0,9124495.0,9187606.0,4696641.0,3908195.0,6684393.0,6105127.0,"0.6947436499999999,0.6947436499999999,1",-0.180494176,51.54706483
77,Finsbury Park,32738968.0,29633479.0,31540207.0,33396270.0,15817399.0,14048632.0,23402642.0,21119804.14285714,"0,0,1",-0.1065121,51.56440165
78,Fulham Broadway,10153787.0,9149885.0,8704059.0,8816445.0,3911983.0,4148235.0,6520154.0,5892965.857142857,"0.7053517071428571,0.7053517071428571,1",-0.194956845,51.48052978
79,Gants Hill,7143148.0,6491292.0,6174918.0,6358482.0,3741492.0,2835478.0,4748259.0,4335703.0,"0.78321485,0.78321485,1",0.066115534,51.57648755
80,Gloucester Road,13975040.0,13100020.0,13311849.0,13738684.0,3933949.0,6967643.0,10486109.0,8791179.142857144,"0.5604410428571428,0.5604410428571428,1",-0.182989526,51.49423978
81,Golders Green,8511338.0,7973435.0,7897011.0,7895394.0,3897645.0,3332144.0,5785182.0,5254401.571428572,"0.7372799214285715,0.7372799214285715,1",-0.193993261,51.57222139
82,Goldhawk Road,2123640.0,2033590.0,2109767.0,2127422.0,972028.0,954301.0,1677524.0,1410661.7142857143,"0.9294669142857143,0.9294669142857143,1",-0.226748329,51.5019522
83,Goodge Street,8463593.0,7185458.0,7316006.0,8507731.0,1625476.0,2537086.0,5152082.0,4617691.285714285,"0.7691154357142858,0.7691154357142858,1",-0.134662152,51.520425
84,Grange Hill,663262.0,639841.0,642034.0,652468.0,296723.0,232680.0,367952.0,404528.28571428574,"0.9797735857142857,0.9797735857142857,1",0.092146407,51.61334986
85,Great Portland Street,8657946.0,7732903.0,7728904.0,7974138.0,2635853.0,2685637.0,5160153.0,4845369.714285715,"0.7577315142857143,0.7577315142857143,1",-0.143956086,51.52372031
86,Green Park,41241175.0,37397425.0,36793171.0,39059216.0,9446617.0,15943763.0,28415099.0,23865041.57142857,"0,0,1",-0.142927422,51.50685011
87,Greenford,4806850.0,4452187.0,4206392.0,4170423.0,2964852.0,2049869.0,3292419.0,3019448.8571428573,"0.8490275571428572,0.8490275571428572,1",-0.346444147,51.54230203
88,Gunnersbury,5784841.0,5451362.0,5447164.0,5522635.0,2178993.0,1967487.0,3873039.0,3491525.714285714,"0.8254237142857143,0.8254237142857143,1",-0.275175035,51.4917931
89,Hainault,3738019.0,3619745.0,3584797.0,3644122.0,2625053.0,1732237.0,2795930.0,2571697.714285714,"0.8714151142857143,0.8714151142857143,1",0.093119014,51.60372722
90,Hampstead,4637096.0,4564741.0,4441422.0,4665745.0,2259516.0,2111620.0,3606601.0,3092806.4285714286,"0.8453596785714286,0.8453596785714286,1",-0.178219763,51.55668848
91,Hanger Lane,4095538.0,3702916.0,3551843.0,3548004.0,1904069.0,1467628.0,2584708.0,2394166.8571428573,"0.8802916571428572,0.8802916571428572,1",-0.293007523,51.5300064
92,Harlesden,3099292.0,3049018.0,3022879.0,3056499.0,2464347.0,1549700.0,2331624.0,2210581.0,"0.88947095,0.88947095,1",-0.257502755,51.53619291
93,Harrow & Wealdstone,4963518.0,4601592.0,4654371.0,4661780.0,3033409.0,2079627.0,3229099.0,3179982.5714285714,"0.8410008714285715,0.8410008714285715,1",-0.335231166,51.59220883
94,Hatton Cross,3248674.0,3035400.0,3008769.0,3238018.0,1562318.0,1411470.0,2627285.0,2126180.0,"0.893691,0.893691,1",-0.423409349,51.46661417
95,Heathrow Terminal 4,2278746.0,2146778.0,2127743.0,2125220.0,0.0,0.0,1232766.0,1090358.142857143,"0.9454820928571428,0.9454820928571428,1",-0.446058767,51.4585531
96,Hendon Central,8130263.0,7420133.0,7297644.0,7190413.0,3385014.0,2933496.0,4941336.0,4738290.857142857,"0.7630854571428571,0.7630854571428571,1",-0.226496208,51.58329383
97,High Barnet,3647152.0,4062201.0,4014753.0,4047339.0,2028542.0,1826421.0,3172741.0,2735999.5714285714,"0.8632000214285714,0.8632000214285714,1",-0.194751022,51.65060117
98,High Street Kensington,13103200.0,12115781.0,11889198.0,11691230.0,3574133.0,4454568.0,8535039.0,7465707.0,"0.62671465,0.62671465,1",-0.192503136,51.50067342
99,Highbury & Islington,20222247.0,19056704.0,16740040.0,17504715.0,8221119.0,8340490.0,13755507.0,11945510.714285715,"0.4027244642857143,0.4027244642857143,1",-0.103964239,51.54622949
100,Highgate,5769258.0,5581536.0,5362797.0,5652865.0,2341117.0,2428486.0,4242758.0,3658508.4285714286,"0.8170745785714286,0.8170745785714286,1",-0.146638423,51.57759783
101,Hillingdon,1772004.0,1726384.0,1704504.0,1648055.0,840109.0,747141.0,1327387.0,1141940.0,"0.942903,0.942903,1",-0.449926296,51.55371684
102,Holborn,33956572.0,31015758.0,30740262.0,31253089.0,7171859.0,11252228.0,21064035.0,18928175.85714286,"0.053591207142857145,0.053591207142857145,1",-0.120008849,51.51743878
103,Holland Park,3225381.0,3451841.0,3377648.0,3722034.0,1993894.0,1618471.0,2653625.0,2402501.8571428573,"0.8798749071428571,0.8798749071428571,1",-0.205728673,51.50733404
104,Holloway Road,6719981.0,6438237.0,6146893.0,6687750.0,2260557.0,2882905.0,5234546.0,4235841.142857143,"0.7882079428571429,0.7882079428571429,1",-0.112925633,51.55275054
105,Hornchurch,2108498.0,2138383.0,2108849.0,2139412.0,1247419.0,934752.0,1465954.0,1433538.4285714286,"0.9283230785714286,0.9283230785714286,1",0.219018987,51.55400526
106,Hounslow Central,3825932.0,3748113.0,3575375.0,3635704.0,1947240.0,1519626.0,2875274.0,2471618.8571428573,"0.8764190571428572,0.8764190571428572,1",-0.36692242,51.4710833
107,Hounslow East,3870493.0,3829625.0,3729904.0,3920633.0,2333768.0,1773818.0,3216060.0,2686258.285714286,"0.8656870857142858,0.8656870857142858,1",-0.356695318,51.47317062
108,Hounslow West,3545471.0,3330306.0,3324930.0,3531951.0,1825754.0,1550628.0,2883269.0,2349548.285714286,"0.8825225857142857,0.8825225857142857,1",-0.385731868,51.4730348
109,Hyde Park Corner,6310733.0,5218249.0,4567539.0,4438810.0,1689055.0,1883530.0,4743548.0,3220104.4285714286,"0.8389947785714286,0.8389947785714286,1",-0.152748812,51.50276041
110,Ickenham,1166906.0,1119734.0,1142440.0,1118573.0,554519.0,480785.0,821905.0,748279.4285714285,"0.9625860285714286,0.9625860285714286,1",-0.442026556,51.56198474
111,Kennington,5592864.0,5286728.0,5032526.0,5508345.0,2398479.0,2486398.0,4406994.0,3588495.714285714,"0.8205752142857143,0.8205752142857143,1",-0.105485153,51.48811953
112,Kensal Green,2724536.0,2556972.0,2410079.0,2488061.0,1354080.0,1068362.0,1809069.0,1669517.5714285714,"0.9165241214285714,0.9165241214285714,1",-0.224716965,51.53045767
113,Kensington (Olympia),2047039.0,1855973.0,110944.0,109430.0,35234.0,34499.0,0.0,306582.85714285716,"0.9846708571428572,0.9846708571428572,1",-0.210382523,51.49780917
114,Kentish Town,8358081.0,7938048.0,7598874.0,8121594.0,3257153.0,3708705.0,6304992.0,5275623.714285715,"0.7362188142857142,0.7362188142857142,1",-0.140464193,51.55030376
115,Kenton,2078584.0,1968088.0,1881163.0,1889965.0,1561991.0,949500.0,1516692.0,1395342.7142857143,"0.9302328642857143,0.9302328642857143,1",-0.317164406,51.58178846
116,Kew Gardens,4176827.0,4135561.0,3865056.0,3825494.0,1808585.0,2146236.0,3969356.0,2821469.714285714,"0.8589265142857143,0.8589265142857143,1",-0.285252328,51.47702993
117,Kilburn,8582187.0,8161692.0,8055599.0,8116651.0,3945831.0,3297471.0,5518439.0,5299383.285714285,"0.7350308357142857,0.7350308357142857,1",-0.204633341,51.5468795
118,Kilburn Park,3428178.0,3185489.0,3271343.0,3285734.0,1482189.0,1375207.0,2429301.0,2147037.5714285714,"0.8926481214285714,0.8926481214285714,1",-0.193965947,51.53506908
119,King's Cross St. Pancras,95030793.0,92620193.0,87839231.0,88273827.0,18837593.0,36734085.0,69936049.0,56320139.71428572,"0,0,1",-0.123857948,51.53039724
120,Kingsbury,5122530.0,4958925.0,4637313.0,4551665.0,3236734.0,2067899.0,3372497.0,3260719.0,"0.83696405,0.83696405,1",-0.278799057,51.58475687
121,Knightsbridge,19086044.0,16241434.0,16509261.0,16528117.0,4464303.0,7453212.0,13270083.0,10638058.57142857,"0.4680970714285715,0.4680970714285715,1",-0.160507091,51.50155143
122,Ladbroke Grove,5801892.0,5652798.0,5597827.0,6130079.0,2835701.0,2648507.0,5097954.0,3994695.1428571427,"0.8002652428571428,0.8002652428571428,1",-0.210861918,51.51718845
123,Lambeth North,0.0,3337188.0,3973246.0,3868659.0,1195291.0,1286347.0,2567046.0,2318253.8571428573,"0.8840873071428571,0.8840873071428571,1",-0.11176027,51.49905815
124,Lancaster Gate,7060983.0,5903385.0,6140949.0,6628043.0,1503898.0,2668131.0,3648119.0,3784646.4285714286,"0.8107676785714286,0.8107676785714286,1",-0.175428659,51.51182153
125,Latimer Road,2627529.0,2344798.0,2439071.0,2320784.0,1121245.0,1075229.0,1841768.0,1591842.142857143,"0.9204078928571429,0.9204078928571429,1",-0.217779302,51.51354359
