Mode,NLC,ASC,Station,Coverage,Source,entries,entries,entries,entries,exits,exits,exits,exits,en/ex
LU,662,NWHu,Northwood Hills,Station entry / exit,Gateline,"3,382","3,282","1,865","1,181","3,216","3,034","1,699","1,157","1,903,375"
LU,663,NHGu,Notting Hill Gate,Station entry / exit,Gateline,"22,498","24,153","25,272","14,845","22,356","24,419","27,572","15,985","15,070,782"
LU,664,OAKu,Oakwood,Station entry / exit,Gateline,"4,391","4,425","3,896","2,724","4,272","4,444","4,016","2,861","2,780,380"
LU,665,OLDu,Old Street,Station entry / exit,Gateline,"46,732","46,306","25,750","16,702","46,239","48,501","29,886","16,706","27,107,822"
LU,667,OSTu,Osterley,Station entry / exit,Gateline,"3,557","3,627","2,608","1,801","3,603","3,598","2,531","1,799","2,179,739"
LU,668,OVLu,Oval,Station entry / exit,Gateline,"11,938","12,266","8,766","6,018","11,575","11,843","8,245","5,915","7,170,152"
LU,669,OXCu,Oxford Circus,Station entry / exit,Gateline,"114,563","124,882","109,636","64,322","130,177","143,498","126,483","71,148","78,073,457"
LU,670,PADu,Paddington TfL,Station entry / exit,Gateline,"79,826","78,881","55,664","48,415","78,290","81,588","55,278","43,363","48,612,110"
LU,671,PRYu,Park Royal,Station entry / exit,Gateline,"3,401","3,311","2,200","1,334","3,539","3,476","2,273","1,340","2,047,993"
LU,672,PGRu,Parsons Green,Station entry / exit,Gateline,"11,348","11,430","6,602","4,436","11,109","10,807","6,009","4,685","6,558,793"
LU,673,PERu,Perivale,Station entry / exit,Gateline,"4,171","4,186","2,688","1,774","4,056","3,957","2,567","1,776","2,444,064"
LU,674,PICu,Piccadilly Circus,Station entry / exit,Gateline,"56,866","70,105","70,154","42,995","54,966","69,046","72,435","39,828","38,396,960"
LU,776,PIMu,Pimlico,Station entry / exit,Gateline,"18,435","18,612","12,464","9,092","17,199","17,346","12,134","9,098","10,813,686"
LU,675,PINu,Pinner,Station entry / exit,Gateline,"5,051","5,220","3,171","2,074","4,946","4,791","3,167","2,095","2,960,479"
LU,676,PLWu,Plaistow,Station entry / exit,Gateline,"9,558","9,774","5,997","4,291","9,136","9,023","5,656","4,351","5,567,660"
LU,677,PRDu,Preston Road,Station entry / exit,Gateline,"5,507","5,481","3,365","2,485","5,395","5,302","3,153","2,492","3,230,285"
LU,678,PUTu,Putney Bridge,Station entry / exit,Gateline,"9,410","9,407","5,916","4,196","10,071","9,849","6,002","4,318","5,766,944"
LU,680,QPKu,Queen's Park,Station entry / exit,Gateline,"9,240","9,378","6,400","4,625","8,586","8,480","5,790","4,643","5,412,178"
LU,679,QBYu,Queensbury,Station entry / exit,Gateline,"6,964","6,962","4,510","3,028","6,880","6,890","4,372","2,943","4,114,533"
LU,681,QWYu,Queensway,Station entry / exit,Gateline,"11,511","12,835","14,523","11,585","11,881","13,446","14,562","11,036","8,254,515"
LU,682,RCPu,Ravenscourt Park,Station entry / exit,Gateline,"5,525","5,654","3,280","2,274","5,459","5,547","3,080","2,411","3,228,328"
LU,683,RAYu,Rayners Lane,Station entry / exit,Gateline,"7,125","6,949","4,383","2,982","6,970","6,773","4,178","2,984","4,159,999"
LU,684,REDu,Redbridge,Station entry / exit,Gateline,"4,779","4,740","3,498","2,376","4,409","4,374","3,207","2,274","2,804,018"
LU,685,RPKu,Regent's Park,Station entry / exit,Gateline,"6,498","6,169","2,864","2,259","7,106","6,949","3,321","2,560","3,867,435"
LU,686,RMDu,Richmond,LU boarding / alighting,Scaled,"11,835","11,376","13,549","7,450","12,783","12,423","13,325","7,723","8,081,806"
LU,687,RKYu,Rickmansworth,Station entry / exit,Gateline,"4,226","4,037","2,096","1,211","4,204","3,942","2,090","1,247","2,387,979"
LU,688,RODu,Roding Valley,Station entry / exit,Gateline,757,793,256,132,920,"1,039",249,165,"449,612"
LU,690,ROYu,Royal Oak,Station entry / exit,Gateline,"4,489","4,363","2,849","2,077","4,217","4,041","2,694","2,154","2,608,698"
LU,691,RUIu,Ruislip,Station entry / exit,Gateline,"3,258","3,163","2,078","1,258","3,297","3,183","2,075","1,302","1,932,543"
LU,692,RUGu,Ruislip Gardens,Station entry / exit,Gateline,"1,979","1,864","1,257",683,"1,797","1,642","1,111",680,"1,106,583"
LU,693,RUMu,Ruislip Manor,Station entry / exit,Gateline,"3,246","3,263","1,994","1,099","3,263","3,235","1,906","1,153","1,893,831"
LU,694,RSQu,Russell Square,Station entry / exit,Gateline,"19,946","21,158","14,923","11,507","19,722","21,528","15,064","10,968","12,274,252"
LU,698,SVSu,Seven Sisters,Station entry / exit,Gateline,"27,477","29,266","24,019","17,786","25,773","27,656","22,762","16,960","17,020,209"
LU,700,SBCu,Shepherd's Bush LU,Station entry / exit,Gateline,"31,510","33,666","32,210","20,297","29,886","31,995","31,249","19,595","20,081,602"
LU,775,SBMu,Shepherd's Bush Market,Station entry / exit,Gateline,"5,409","5,857","5,160","3,060","5,208","5,481","4,615","3,062","3,375,980"
