Mode,NLC,ASC,Station,Coverage,Source,entries,,entries,entries,exits,,exits,exits,en/ex
LU,617,KGNu,Kensal Green,Station entry / exit,Relate,"4,578",0,"3,147","2,139","3,891",0,"2,664","2,092","2,556,972"
LU,618,OLYu,Kensington (Olympia),LU boarding / alighting,Scaled,"1,640",0,"6,965","4,157","1,616",0,"6,391","4,232","1,855,973"
LU,619,KTNu,Kentish Town,Station entry / exit,Relate,"13,857",0,"8,998","6,164","12,940",0,"8,053","5,434","7,938,048"
LU,620,KETu,Kenton,Station entry / exit,Relate,"3,327",0,"2,130","1,415","3,331",0,"2,096","1,391","1,968,088"
LU,621,KEWu,Kew Gardens,Station entry / exit,Relate,"6,662",0,"5,484","4,385","6,497",0,"5,058","4,007","4,135,561"
LU,622,KILu,Kilburn,Station entry / exit,Relate,"13,475",0,"10,578","7,920","12,733",0,"9,837","7,841","8,161,692"
LU,623,KPKu,Kilburn Park,Station entry / exit,Relate,"5,153",0,"4,424","3,149","4,948",0,"4,116","3,070","3,185,489"
LU,625,KXXu,King's Cross St. Pancras,Station entry / exit,Relate,"149,150",0,"117,237","98,579","146,864",0,"112,360","89,348","92,620,193"
LU,624,KBYu,Kingsbury,Station entry / exit,Relate,"8,439",0,"5,685","4,019","8,092",0,"5,386","3,853","4,958,925"
LU,626,KNBu,Knightsbridge,Station entry / exit,Relate,"25,026",0,"28,003","19,735","23,810",0,"25,435","15,400","16,241,434"
LU,627,LGRu,Ladbroke Grove,Station entry / exit,Relate,"9,327",0,"9,009","4,625","8,878",0,"7,205","3,950","5,652,798"
LU,628,LAMu,Lambeth North,Station entry / exit,Relate,"5,443",0,"5,072","3,865","4,887",0,"4,542","3,243","3,337,188"
LU,629,LANu,Lancaster Gate,Station entry / exit,Relate,"9,568",0,"7,851","6,492","9,120",0,"7,473","5,692","5,903,385"
LU,630,LATu,Latimer Road,Station entry / exit,Relate,"4,190",0,"2,164","1,532","4,003",0,"1,922","1,457","2,344,798"
LU,631,LSQu,Leicester Square,Station entry / exit,Relate,"49,948",0,"71,173","41,846","47,341",0,"69,316","39,694","34,580,105"
LU,632,LEYu,Leyton,Station entry / exit,Relate,"20,416",0,"17,743","12,375","20,276",0,"15,780","11,901","12,751,863"
LU,633,LYSu,Leytonstone,Station entry / exit,Relate,"17,433",0,"12,923","8,810","16,820",0,"12,061","8,660","10,431,470"
LU,634,LSTu,Liverpool Street LU,Station entry / exit,Relate,"112,437",0,"56,259","42,894","111,688",0,"60,262","41,470","64,501,949"
LU,635,LONu,London Bridge LU,Station entry / exit,Relate,"113,606",0,"78,569","45,408","107,048",0,"75,800","42,694","65,684,647"
LU,636,LTNu,Loughton,Station entry / exit,Relate,"5,830",0,"3,837","2,098","5,817",0,"3,635","2,116","3,412,794"
LU,637,MDVu,Maida Vale,Station entry / exit,Relate,"5,434",0,"3,803","2,676","4,864",0,"3,331","2,587","3,118,278"
LU,638,MNRu,Manor House,Station entry / exit,Relate,"13,539",0,"11,134","8,587","12,569",0,"9,598","8,442","8,214,650"
LU,639,MANu,Mansion House,Station entry / exit,Relate,"11,584",0,"2,766","2,046","11,730",0,"2,602","1,818","6,140,305"
LU,640,MARu,Marble Arch,Station entry / exit,Relate,"22,337",0,"19,161","13,651","19,926",0,"15,796","11,629","13,254,257"
LU,641,MYBu,Marylebone LU,Station entry / exit,Relate,"20,984",0,"14,952","11,935","21,656",0,"15,163","10,853","12,988,295"
LU,642,MLEu,Mile End,Station entry / exit,Relate,"24,959",0,"18,224","13,261","23,873",0,"16,737","13,471","14,928,464"
LU,643,MHEu,Mill Hill East,Station entry / exit,Scaled,"2,397",0,"1,202",769,"2,154",0,"1,414",877,"1,318,680"
LU,646,MPKu,Moor Park,Station entry / exit,Relate,"1,717",0,639,364,"1,558",0,619,381,"897,017"
LU,645,MGTu,Moorgate,Station entry / exit,Scaled,"46,696",0,"5,821","3,961","54,742",0,"7,318","4,878","25,828,308"
LU,647,MORu,Morden,Station entry / exit,Relate,"17,036",0,"11,546","8,648","15,608",0,"10,490","8,367","9,872,702"
LU,648,MCRu,Mornington Crescent,Station entry / exit,Relate,"7,868",0,"4,752","11,598","7,293",0,"3,435","2,327","4,779,258"
LU,649,NEAu,Neasden,Station entry / exit,Relate,"6,327",0,"4,364","3,153","5,707",0,"4,027","2,998","3,646,639"
LU,650,NEPu,Newbury Park,Station entry / exit,Relate,"9,329",0,"6,362","4,269","8,148",0,"5,762","3,775","5,249,584"
LU,653,NACu,North Acton,Station entry / exit,Relate,"11,190",0,"6,407","4,544","11,023",0,"5,915","4,405","6,459,225"
LU,654,NELu,North Ealing,Station entry / exit,Relate,"1,402",0,939,594,"1,232",0,801,601,"786,073"
LU,789,NOGu,North Greenwich,Station entry / exit,Relate,"40,613",0,"35,817","28,314","42,343",0,"36,024","29,738","26,585,096"
LU,656,NHRu,North Harrow,Station entry / exit,Relate,"3,285",0,"1,730","1,051","3,165",0,"1,540",990,"1,833,325"
LU,659,NWBu,North Wembley,Station entry / exit,Relate,"2,917",0,"1,966","1,404","2,693",0,"1,751","1,332","1,684,067"
LU,655,NFDu,Northfields,Station entry / exit,Relate,"6,422",0,"4,279","3,038","6,197",0,"3,990","3,159","3,785,696"
LU,657,NHTu,Northolt,Station entry / exit,Relate,"8,427",0,"5,747","3,834","8,044",0,"5,234","3,657","4,921,293"
LU,660,NWPu,Northwick Park,Station entry / exit,Relate,"7,679",0,"3,607","2,678","7,553",0,"3,270","2,612","4,311,177"
LU,661,NWDu,Northwood,Station entry / exit,Relate,"5,509",0,"2,592","1,587","4,747",0,"2,373","1,533","2,897,563"
LU,662,NWHu,Northwood Hills,Station entry / exit,Relate,"3,435",0,"1,901","1,167","3,250",0,"1,694","1,117","1,918,400"
LU,663,NHGu,Notting Hill Gate,Station entry / exit,Relate,"23,741",0,"23,951","14,101","23,447",0,"27,388","15,288","15,456,337"
LU,664,OAKu,Oakwood,Station entry / exit,Relate,"4,407",0,"3,555","2,568","4,331",0,"3,560","2,689","2,736,346"
LU,665,OLDu,Old Street,Station entry / exit,Relate,"42,971",0,"26,666","18,023","41,107",0,"31,508","17,321","25,083,479"
LU,667,OSTu,Osterley,Station entry / exit,Relate,"3,452",0,"2,532","1,787","3,408",0,"2,291","1,686","2,079,080"
LU,668,OVLu,Oval,Station entry / exit,Relate,"11,909",0,"8,303","5,763","11,272",0,"7,631","5,485","6,983,973"
LU,669,OXCu,Oxford Circus,Station entry / exit,Relate,"121,364",0,"103,026","63,185","136,405",0,"113,894","65,547","79,778,619"
LU,670,PADu,Paddington TfL,Station entry / exit,Relate,"78,992",0,"48,872","41,733","76,087",0,"46,671","36,560","46,331,280"
LU,671,PRYu,Park Royal,Station entry / exit,Relate,"3,241",0,"2,138","1,477","3,221",0,"2,097","1,391","1,923,720"
LU,672,PGRu,Parsons Green,Station entry / exit,Relate,"11,793",0,"6,549","3,870","10,566",0,"5,924","3,847","6,442,093"
LU,673,PERu,Perivale,Station entry / exit,Relate,"4,207",0,"2,608","1,616","3,942",0,"2,401","1,591","2,389,751"
LU,674,PICu,Piccadilly Circus,Station entry / exit,Relate,"59,266",0,"66,956","40,514","56,959",0,"65,289","36,412","38,573,777"
LU,776,PIMu,Pimlico,Station entry / exit,Relate,"18,185",0,"10,677","8,159","17,077",0,"10,280","8,112","10,422,636"
LU,675,PINu,Pinner,Station entry / exit,Relate,"5,896",0,"2,947","1,867","5,615",0,"2,797","1,766","3,266,903"
LU,676,PLWu,Plaistow,Station entry / exit,Relate,"9,930",0,"6,676","4,821","9,429",0,"6,084","4,795","5,816,650"
